leg,seed,alpha,target_coverage,q_hat,n_calib,n_eval,empirical_coverage,abstain_rate,singleton_rate,empty_rate
TelecomTS,0,0.1,0.9,0.1441,6566,5631,0.9462,0.0,0.9686,0.0314
TelecomTS,1,0.1,0.9,0.1401,6566,5631,0.9446,0.0,0.9657,0.0343
TelecomTS,2,0.1,0.9,0.1439,6566,5631,0.9458,0.0,0.9673,0.0327
TelecomTS,3,0.1,0.9,0.1394,6566,5631,0.943,0.0,0.965,0.035
TelecomTS,4,0.1,0.9,0.1673,6566,5631,0.9458,0.0,0.9689,0.0311
RCAEval,0,0.1,0.9,0.0797,5155,5002,0.8906,0.0,0.8942,0.1058
RCAEval,1,0.1,0.9,0.0843,5155,5002,0.8862,0.0,0.89,0.11
RCAEval,2,0.1,0.9,0.0745,5155,5002,0.8856,0.0,0.8894,0.1106
RCAEval,3,0.1,0.9,0.0829,5155,5002,0.885,0.0,0.8884,0.1116
RCAEval,4,0.1,0.9,0.087,5155,5002,0.885,0.0,0.8884,0.1116
SMD,0,0.1,0.9,0.988,5430,4151,0.9513,0.2322,0.7678,0.0
SMD,1,0.1,0.9,0.9841,5430,4151,0.941,0.2101,0.7899,0.0
SMD,2,0.1,0.9,0.9881,5430,4151,0.9456,0.2224,0.7776,0.0
SMD,3,0.1,0.9,0.9873,5430,4151,0.9431,0.2204,0.7796,0.0
SMD,4,0.1,0.9,0.9852,5430,4151,0.9419,0.2137,0.7863,0.0
