model,family,auroc,auprc,ece,threshold,f1,precision,recall,fit_seconds,predict_seconds,n_params,mean_member_std
Random Forest,Bagged tree,0.995899472485553,0.996565404173293,0.055696103272376715,0.5327308648228527,0.9718988358089121,0.9703406813627254,0.9734620024125452,4.70542814700093,0.06699161500000628,,
XGBoost,Boosted tree,0.9956515830629413,0.996281720216389,0.011371582184770369,0.5217105150222778,0.9676775738228253,0.9603960396039604,0.975070365902694,1.0928772820006998,0.00392674800241366,,
LightGBM,Boosted tree,0.9953566897768996,0.9962108393729828,0.011859607013810594,0.7102908228857429,0.9658416854162405,0.9829308909242298,0.9493365500603136,1.5547482590009167,0.01833180399989942,,
Soft-vote ensemble,Ensemble,0.9950785036463967,0.9958047351453333,0.2121322202826187,0.5091119802079169,0.9642570281124498,0.9630966706778982,0.9654201849618014,988.3286831900405,10.687595334995422,,
Deep ensemble (Transformer),Deep ensemble,0.9941814333140682,0.9952635218663041,0.015289898545089147,0.4128697156906126,0.9662832209440698,0.9534246575342465,0.9794933655006032,285.90599902100075,2.181953054994665,101765.0,0.012661067768931389
Deep ensemble (heterogeneous),Deep ensemble,0.9939349028466916,0.9948523196172687,0.01726473587565496,0.5066096043586731,0.9607021743466986,0.953285827395091,0.9682348210695617,447.5761312060167,4.8388427139980195,750745.0,0.014885860495269299
Transformer,Attention,0.9934392838785542,0.9945849213758894,0.02055934346375949,0.2893860161304473,0.9621664675428117,0.9530571992110454,0.9714515480498592,55.71603289500126,0.29067630999998073,20353.0,
Extra Trees,Bagged tree,0.993733937348966,0.9944741717768694,0.07480346230985224,0.40770491067015974,0.9573924995091302,0.9355333844973139,0.9802975472456775,0.5996169250029197,0.07846156699815765,,
Deep ensemble (GRU),Deep ensemble,0.9936423277784039,0.9943300261376752,0.013306114070976925,0.39017704129219055,0.9575425552729407,0.932545731707317,0.9839163650985122,42.4315393700017,0.6228027740035031,30565.0,0.01936107873916626
Logistic Regression,Linear,0.9934736574521508,0.9941609972840009,0.011672917757232186,0.4971675035732704,0.9599681338378809,0.9510655090765588,0.9690390028146361,0.06529146799948649,0.00044619899927056395,,
Deep ensemble (MLP),Deep ensemble,0.992586819253358,0.9939998245729104,0.010841284794487158,0.45672720670700073,0.9576740506329114,0.9423900350330868,0.9734620024125452,3.440398933005781,0.02709955099999206,471685.0,0.018071714788675308
Deep ensemble (1D ResNet),Deep ensemble,0.9926472527920535,0.9939190997664714,0.013633206725397596,0.4741193503141403,0.9562276163947473,0.9464356045687279,0.9662243667068757,78.50971930400192,1.5729464019968873,106885.0,0.025518033653497696
Deep ensemble (LSTM),Deep ensemble,0.9928606887025254,0.9938265991175071,0.016765444782092985,0.4627714604139328,0.9552533017938104,0.936968290796597,0.9742661841576197,37.28847457800657,0.4340409320029721,39845.0,0.017440302297472954
MLP,Feedforward neural net,0.9923890512973628,0.9937209285562152,0.02192109069715841,0.3204700994491577,0.9559322033898305,0.9481803797468354,0.9638118214716526,0.6303990150008758,0.004345483997894917,94337.0,
LSTM,Recurrent neural net,0.9924637138967562,0.9936244269272472,0.014285895096116523,0.4270976334810257,0.9545276362210897,0.9311663479923518,0.9790912746280659,7.329260503000114,0.09989889099961147,7969.0,
1D ResNet,Convolutional neural net,0.9919941548937177,0.9936096585148001,0.01865971160055351,0.38589107096195224,0.957042957042957,0.9511517077045274,0.9630076397265782,12.982706213999336,0.3287563619996945,21377.0,
GRU,Recurrent neural net,0.9928275941456208,0.9933191668326247,0.008412005330641856,0.3344261795282376,0.956828885400314,0.9344576466078958,0.9802975472456775,8.500060070000472,0.11807492700245348,6113.0,
Dummy prior,Naive,0.5,0.4972011195521791,0.014979351648514994,0.5121804712006941,0.664174122045667,0.4972011195521791,1.0,0.00030072300069150515,5.517200042959303e-05,,
