model,family,auroc,auprc,ece,threshold,f1,precision,recall,fit_seconds,predict_seconds,n_params,mean_member_std
XGBoost,Boosted tree,0.96795513967676,0.8687203689048199,0.020693340248958695,0.12257329747080803,0.8201581027667985,0.8153241650294696,0.8250497017892644,2.8997373370002606,0.004489629998715827,,
Random Forest,Bagged tree,0.9726826249988368,0.8675839414711378,0.03473962548168142,0.14127819400318029,0.8435643564356435,0.8402366863905325,0.8469184890656064,18.567482488000678,0.10024846299711498,,
Deep ensemble (LSTM),Deep ensemble,0.9506793094785422,0.836764137771384,0.017512189111068825,0.1565423932671552,0.80990099009901,0.8067061143984221,0.8131212723658051,173.85002448200248,0.46295230699615786,36005.0,0.014524931088089943
Deep ensemble (GRU),Deep ensemble,0.9494387031942509,0.831998064844915,0.016416153006349573,0.1407465435564522,0.8102766798418972,0.8055009823182712,0.8151093439363817,201.35307185299826,0.4346549369947752,27685.0,0.0134967602789402
Soft-vote ensemble,Ensemble,0.9558904374067607,0.8252489975612313,0.4108318557168925,0.8990942994139586,0.7873684210526316,0.8366890380313199,0.7435387673956262,2753.9609194999794,5.701827934975881,,
GRU,Recurrent neural net,0.9492584275935648,0.824854167941084,0.02036883836505262,0.06731495633721352,0.8052434456928839,0.7610619469026548,0.8548707753479126,38.505429554999864,0.06871733699881588,5537.0,
Deep ensemble (heterogeneous),Deep ensemble,0.9515973581289175,0.8228879354034861,0.008722473856817872,0.24005690664052998,0.7940594059405941,0.7909270216962525,0.7972166998011928,1232.0990655159912,2.431603824988997,447385.0,0.01927313581109047
1D ResNet,Convolutional neural net,0.9708674629291335,0.8160765208095415,0.023093926988090888,0.09997994512319568,0.7775831873905429,0.6948356807511737,0.882703777335984,53.3378863379985,0.13260134600204765,20801.0,
LSTM,Recurrent neural net,0.9522037044503648,0.8087125777328755,0.02173327459437537,0.33971342086792006,0.7693920335429769,0.8137472283813747,0.7296222664015904,33.20721667199905,0.1413212810002733,7201.0,
Deep ensemble (1D ResNet),Deep ensemble,0.9668027327454928,0.8072393903975787,0.013965062232751908,0.33330302983522436,0.78125,0.7677543186180422,0.7952286282306164,225.2636756289976,0.5599619389977306,104005.0,0.02486236020922661
LightGBM,Boosted tree,0.9420815202389408,0.7927021122021384,0.026782755186083192,0.20322225591404044,0.7564655172413793,0.8258823529411765,0.6978131212723658,4.057776939000178,0.036494754000159446,,
Deep ensemble (MLP),Deep ensemble,0.9378902094453557,0.7918308089668621,0.022925936582307557,0.4721564376354218,0.7603305785123967,0.7913978494623656,0.731610337972167,17.784117905997846,0.01735257600012119,183685.0,0.01632784493267536
Deep ensemble (Transformer),Deep ensemble,0.9645779767572411,0.787592231472666,0.02003717931628206,0.5597981810569763,0.7857889237199582,0.8281938325991189,0.7475149105367793,613.8481756459951,0.9566820660002122,96005.0,0.01308580581098795
Extra Trees,Bagged tree,0.9145823188792364,0.7754487576446875,0.11362901385635732,0.2866090070317897,0.8130252100840336,0.8619153674832962,0.7693836978131213,5.7540605350004626,0.16809402099897852,,
MLP,Feedforward neural net,0.9336198100011475,0.7554173072711489,0.03643970646869171,0.6557126194238666,0.7098166127292341,0.7759433962264151,0.6540755467196819,4.166118021999864,0.007124355000996729,36737.0,
Transformer,Attention,0.9664088402502303,0.748195259491499,0.019097993487918588,0.18731583237648014,0.7869822485207101,0.7808219178082192,0.7932405566600398,126.7072941999977,0.1780650760010758,19201.0,
Logistic Regression,Linear,0.8296500249672014,0.5766406386707076,0.10412565594472943,0.9431997940596218,0.6037267080745342,0.804635761589404,0.4831013916500994,2.5597863820003113,0.0014640219997090753,,
Dummy prior,Naive,0.5,0.08932694015272598,0.0540611275195031,0.035265812633222884,0.16400391261819366,0.08932694015272598,1.0,0.0036191560029692482,7.558699871879071e-05,,
