session,type,onset_index,length_samples,runway_samples,runway_sec,affected,zone,application,mobility,congestion
A-File-No-No@17356896330,Jamming,0,4828,0,0.0,"['DL_BLER', 'UL_BLER', 'UL_MCS', 'TX_Bytes', 'RX_Bytes']",A,File,No,No
A-File-No-No@17356901383,Jamming,0,4528,0,0.0,"['DL_BLER', 'UL_BLER', 'UL_MCS', 'TX_Bytes', 'RX_Bytes']",A,File,No,No
A-Twitch-No-No@17357760260,Jamming,0,7228,0,0.0,"['DL_BLER', 'UL_BLER', 'UL_MCS', 'TX_Bytes', 'RX_Bytes']",A,Twitch,No,No
A-Twitch-No-No@17357767698,Jamming,0,2228,0,0.0,"['DL_BLER', 'UL_BLER', 'UL_MCS', 'TX_Bytes', 'RX_Bytes']",A,Twitch,No,No
A-Youtube-No-No@17358624250,Jamming,0,528,0,0.0,"['DL_BLER', 'UL_BLER', 'UL_MCS', 'TX_Bytes', 'RX_Bytes']",A,Youtube,No,No
A-Youtube-No-No@17358625002,Jamming,0,4828,0,0.0,"['DL_BLER', 'UL_BLER', 'UL_MCS', 'TX_Bytes', 'RX_Bytes']",A,Youtube,No,No
A-Youtube-No-No@17358629988,Jamming,0,3928,0,0.0,"['DL_BLER', 'UL_BLER', 'UL_MCS', 'TX_Bytes', 'RX_Bytes']",A,Youtube,No,No
A-Youtube-No-No@17695584000,Co-Channel Interference (Severe),43,437,43,4.3,"['RSRP', 'DL_BLER', 'UL_BLER', 'UL_NPRB', 'UL_SNR', 'TX_Bytes', 'RX_Bytes', 'PRB_Utilization_DL', 'PRB_Utilization_UL', 'UL_NumberOfPackets', 'DL_NumberOfPackets']",A,Youtube,No,No
A-Youtube-No-No@17695585568,Co-Channel Interference (Severe),115,232,115,11.5,"['RSRP', 'DL_BLER', 'UL_BLER', 'UL_NPRB', 'UL_SNR', 'TX_Bytes', 'RX_Bytes', 'PRB_Utilization_DL', 'PRB_Utilization_UL', 'UL_NumberOfPackets', 'DL_NumberOfPackets']",A,Youtube,No,No
A-Youtube-No-No@17695586816,Co-Channel Interference (Mild),118,63,118,11.8,"['RSRP', 'DL_BLER', 'UL_BLER', 'UL_NPRB', 'UL_SNR', 'TX_Bytes', 'RX_Bytes', 'PRB_Utilization_DL', 'PRB_Utilization_UL']",A,Youtube,No,No
A-Youtube-No-No@17695587520,Antenna Failure,112,59,112,11.2,"['RSRP', 'DL_BLER', 'DL_MCS', 'UL_BLER', 'UL_MCS', 'UL_SNR', 'TX_Bytes', 'RX_Bytes', 'Estimated_UL_Buffer', 'PRBs_DL_Current', 'PRBs_UL_Current', 'UL_NumberOfPackets', 'DL_NumberOfPackets']",A,Youtube,No,No
A-Youtube-No-No@17695588128,Buffer Overflow (Gradual Buildup),107,454,107,10.7,"['DL_BLER', 'UL_BLER', 'UL_NPRB', 'TX_Bytes', 'RX_Bytes', 'Estimated_UL_Buffer', 'PRB_Utilization_DL', 'PRB_Utilization_UL', 'UL_NumberOfPackets', 'DL_NumberOfPackets']",A,Youtube,No,No
A-Youtube-No-No@17695588128,Faulty RF Filters (Temporal),602,43,41,4.1,"['RSRP', 'DL_BLER', 'UL_BLER', 'UL_NPRB', 'UL_SNR', 'TX_Bytes', 'RX_Bytes', 'PRB_Utilization_DL', 'PRB_Utilization_UL']",A,Youtube,No,No
A-Youtube-No-No@17695589472,Co-Channel Interference (Mild),110,193,110,11.0,"['RSRP', 'DL_BLER', 'UL_BLER', 'UL_NPRB', 'UL_SNR', 'TX_Bytes', 'RX_Bytes', 'PRB_Utilization_DL', 'PRB_Utilization_UL']",A,Youtube,No,No
A-Youtube-No-No@17695589952,Buffer Overflow (Gradual Buildup),121,82,121,12.1,"['DL_BLER', 'UL_BLER', 'UL_NPRB', 'TX_Bytes', 'RX_Bytes', 'Estimated_UL_Buffer', 'PRB_Utilization_DL', 'PRB_Utilization_UL', 'UL_NumberOfPackets', 'DL_NumberOfPackets']",A,Youtube,No,No
A-Youtube-No-No@17695589952,Faulty RF Filters (Temporal),297,370,94,9.4,"['RSRP', 'DL_BLER', 'UL_BLER', 'UL_NPRB', 'UL_SNR', 'TX_Bytes', 'RX_Bytes', 'PRB_Utilization_DL', 'PRB_Utilization_UL']",A,Youtube,No,No
A-Youtube-No-No@17695589952,Resource Allocation Bugs,781,184,114,11.4,"['DL_BLER', 'UL_BLER', 'UL_NPRB', 'TX_Bytes', 'RX_Bytes', 'PRBs_DL_Current', 'PRBs_UL_Current', 'PRB_Utilization_DL', 'PRB_Utilization_UL']",A,Youtube,No,No
A-Youtube-No-No@17695591328,Faulty Handover Algorithm (Too Frequent),125,10,125,12.5,"['RSRP', 'DL_BLER', 'UL_BLER', 'UL_SNR', 'TX_Bytes', 'RX_Bytes', 'Estimated_UL_Buffer', 'UL_NumberOfPackets', 'DL_NumberOfPackets']",A,Youtube,No,No
A-Youtube-No-No@17695591904,Doppler Shift (Severe),97,475,97,9.7,"['RSRP', 'DL_MCS', 'UL_MCS', 'UL_NPRB', 'UL_SNR', 'TX_Bytes', 'RX_Bytes']",A,Youtube,No,No
A-Youtube-No-No@17695591904,Co-Channel Interference (Severe),714,686,142,14.2,"['RSRP', 'DL_BLER', 'UL_BLER', 'UL_NPRB', 'UL_SNR', 'TX_Bytes', 'RX_Bytes', 'PRB_Utilization_DL', 'PRB_Utilization_UL', 'UL_NumberOfPackets', 'DL_NumberOfPackets']",A,Youtube,No,No
