segment,kpi_dim,in_ground_truth,pearson_r,granger_p_raw,granger_p_fdr,verdict_raw,verdict_fdr
15849-16368,30,False,0.2717472757063257,1.6298135758558144e-08,7.683406857605982e-08,causal evidence (raw p<0.05),causal evidence (BH-FDR q<0.05)
15849-16368,33,False,0.19940718426550696,5.989653216837429e-05,0.00017968959650512288,causal evidence (raw p<0.05),causal evidence (BH-FDR q<0.05)
15849-16368,13,True,0.35953751368173026,0.003058774167901269,0.005401065378723573,causal evidence (raw p<0.05),causal evidence (BH-FDR q<0.05)
15849-16368,9,True,0.8489463652098956,0.2798082513532893,0.3693468917863419,correlational only,correlational only
16963-17517,9,True,0.949126720508645,6.4174454715162004e-09,3.5295950093339104e-08,causal evidence (raw p<0.05),causal evidence (BH-FDR q<0.05)
16963-17517,33,True,0.2619564154189676,8.697422476531744e-05,0.00023917911810462296,causal evidence (raw p<0.05),causal evidence (BH-FDR q<0.05)
16963-17517,30,True,0.2676775034598099,0.00014763501275192508,0.0003747658016010406,causal evidence (raw p<0.05),causal evidence (BH-FDR q<0.05)
16963-17517,13,True,0.5533347456676587,0.20576549075688144,0.282927549790712,correlational only,correlational only
18071-18528,9,True,0.9641369035095376,1.2841025079926214e-09,8.4750765527513e-09,causal evidence (raw p<0.05),causal evidence (BH-FDR q<0.05)
18071-18528,30,False,0.14958299532047917,0.0012354965655528571,0.0027034195272578948,causal evidence (raw p<0.05),causal evidence (BH-FDR q<0.05)
18071-18528,13,True,0.4717766723711792,0.36248824974582017,0.42721829434328806,correlational only,correlational only
18071-18528,7,False,0.04498663792388437,0.41194342349531277,0.45313776584484405,correlational only,correlational only
19367-20088,1,True,0.21101968240246274,2.968941548256843e-17,3.265835703082527e-16,causal evidence (raw p<0.05),causal evidence (BH-FDR q<0.05)
19367-20088,13,True,0.6792908148300547,0.002921938935740765,0.005401065378723573,causal evidence (raw p<0.05),causal evidence (BH-FDR q<0.05)
19367-20088,30,False,0.1693001160390675,0.003109704308962058,0.005401065378723573,causal evidence (raw p<0.05),causal evidence (BH-FDR q<0.05)
19367-20088,7,False,-0.045440274748718756,0.293894381931081,0.37301979245098743,correlational only,correlational only
20786-21195,9,True,0.9506691135067846,2.830691902203529e-12,2.3353208193179113e-11,causal evidence (raw p<0.05),causal evidence (BH-FDR q<0.05)
20786-21195,13,True,0.5858702966458933,0.024593501540553783,0.03689025231083068,causal evidence (raw p<0.05),causal evidence (BH-FDR q<0.05)
20786-21195,7,False,-0.07457146763928119,0.19895761266356854,0.282927549790712,correlational only,correlational only
20786-21195,30,False,0.045859441478557826,0.45035142608960177,0.47940635680505994,correlational only,correlational only
20786-21195,33,False,0.02595414470382935,0.7904527033241106,0.7904527033241106,correlational only,correlational only
24679-24682,9,True,0.9795783690578292,3.5943785360062116e-71,1.1861449168820497e-69,causal evidence (raw p<0.05),causal evidence (BH-FDR q<0.05)
24679-24682,1,False,0.11780418503996695,1.4919975689956643e-07,6.006395029538997e-07,causal evidence (raw p<0.05),causal evidence (BH-FDR q<0.05)
24679-24682,13,True,0.9491377214476091,1.6381077353288172e-07,6.006395029538997e-07,causal evidence (raw p<0.05),causal evidence (BH-FDR q<0.05)
24679-24682,30,False,0.0520415878545088,0.0013107488617007976,0.0027034195272578948,causal evidence (raw p<0.05),causal evidence (BH-FDR q<0.05)
26114-26116,13,True,0.9623849001989181,0.00019602963992364572,0.00046206986553430776,causal evidence (raw p<0.05),causal evidence (BH-FDR q<0.05)
26114-26116,1,False,0.09033958639223094,0.006018039741505577,0.009929765573484201,causal evidence (raw p<0.05),causal evidence (BH-FDR q<0.05)
26114-26116,7,False,-0.03878570612057984,0.3501577791112317,0.42721829434328806,correlational only,correlational only
26114-26116,30,False,0.06679853143149997,0.5643750135414238,0.5820117327145933,correlational only,correlational only
27554-27556,9,True,0.9751413710541447,2.000148924312502e-26,3.300245725115628e-25,causal evidence (raw p<0.05),causal evidence (BH-FDR q<0.05)
27554-27556,13,True,0.932899721480375,5.30312493938054e-05,0.00017500312299955782,causal evidence (raw p<0.05),causal evidence (BH-FDR q<0.05)
27554-27556,7,False,-0.1841152636715923,0.0070276494474577084,0.011043449131719256,causal evidence (raw p<0.05),causal evidence (BH-FDR q<0.05)
27554-27556,30,False,0.06468560069212571,0.3783770088163676,0.4305669410669011,correlational only,correlational only
