segment,block,method,n_gt,metric,value
15849-16368,train,shap,7,mrr,1.0
15849-16368,train,shap,7,hit@1,1.0
15849-16368,train,shap,7,precision@1,1.0
15849-16368,train,shap,7,recall@1,0.14285714285714285
15849-16368,train,shap,7,ndcg@1,1.0
15849-16368,train,shap,7,hit@3,1.0
15849-16368,train,shap,7,precision@3,0.6666666666666666
15849-16368,train,shap,7,recall@3,0.2857142857142857
15849-16368,train,shap,7,ndcg@3,0.7039180890341347
15849-16368,train,shap,7,hit@5,1.0
15849-16368,train,shap,7,precision@5,0.6
15849-16368,train,shap,7,recall@5,0.42857142857142855
15849-16368,train,shap,7,ndcg@5,0.6548086577531307
15849-16368,train,shap,7,hit@10,1.0
15849-16368,train,shap,7,precision@10,0.5
15849-16368,train,shap,7,recall@10,0.7142857142857143
15849-16368,train,shap,7,ndcg@10,0.7050687579368828
15849-16368,train,correlation_only,7,mrr,1.0
15849-16368,train,correlation_only,7,hit@1,1.0
15849-16368,train,correlation_only,7,precision@1,1.0
15849-16368,train,correlation_only,7,recall@1,0.14285714285714285
15849-16368,train,correlation_only,7,ndcg@1,1.0
15849-16368,train,correlation_only,7,hit@3,1.0
15849-16368,train,correlation_only,7,precision@3,1.0
15849-16368,train,correlation_only,7,recall@3,0.42857142857142855
15849-16368,train,correlation_only,7,ndcg@3,1.0
15849-16368,train,correlation_only,7,hit@5,1.0
15849-16368,train,correlation_only,7,precision@5,1.0
15849-16368,train,correlation_only,7,recall@5,0.7142857142857143
15849-16368,train,correlation_only,7,ndcg@5,1.0
15849-16368,train,correlation_only,7,hit@10,1.0
15849-16368,train,correlation_only,7,precision@10,0.6
15849-16368,train,correlation_only,7,recall@10,0.8571428571428571
15849-16368,train,correlation_only,7,ndcg@10,0.9083745556952364
15849-16368,train,random_floor,7,mrr,0.40486002348700634
15849-16368,train,random_floor,7,hit@1,0.207
15849-16368,train,random_floor,7,precision@1,0.207
15849-16368,train,random_floor,7,recall@1,0.02957142857142882
15849-16368,train,random_floor,7,ndcg@1,0.207
15849-16368,train,random_floor,7,hit@3,0.474
15849-16368,train,random_floor,7,precision@3,0.18533333333333252
15849-16368,train,random_floor,7,recall@3,0.07942857142857075
15849-16368,train,random_floor,7,ndcg@3,0.1898130011436944
15849-16368,train,random_floor,7,hit@5,0.675
15849-16368,train,random_floor,7,precision@5,0.18999999999999623
15849-16368,train,random_floor,7,recall@5,0.13571428571428445
15849-16368,train,random_floor,7,ndcg@5,0.19180576494897944
15849-16368,train,random_floor,7,hit@10,0.9145
15849-16368,train,random_floor,7,precision@10,0.1883500000000003
15849-16368,train,random_floor,7,recall@10,0.2690714285714314
15849-16368,train,random_floor,7,ndcg@10,0.23744682681179538
16963-17517,train,shap,31,mrr,1.0
16963-17517,train,shap,31,hit@1,1.0
16963-17517,train,shap,31,precision@1,1.0
16963-17517,train,shap,31,recall@1,0.03225806451612903
16963-17517,train,shap,31,ndcg@1,1.0
16963-17517,train,shap,31,hit@3,1.0
16963-17517,train,shap,31,precision@3,1.0
16963-17517,train,shap,31,recall@3,0.0967741935483871
16963-17517,train,shap,31,ndcg@3,1.0
16963-17517,train,shap,31,hit@5,1.0
16963-17517,train,shap,31,precision@5,1.0
16963-17517,train,shap,31,recall@5,0.16129032258064516
16963-17517,train,shap,31,ndcg@5,1.0
16963-17517,train,shap,31,hit@10,1.0
16963-17517,train,shap,31,precision@10,1.0
16963-17517,train,shap,31,recall@10,0.3225806451612903
16963-17517,train,shap,31,ndcg@10,1.0
16963-17517,train,correlation_only,31,mrr,1.0
16963-17517,train,correlation_only,31,hit@1,1.0
16963-17517,train,correlation_only,31,precision@1,1.0
16963-17517,train,correlation_only,31,recall@1,0.03225806451612903
16963-17517,train,correlation_only,31,ndcg@1,1.0
16963-17517,train,correlation_only,31,hit@3,1.0
16963-17517,train,correlation_only,31,precision@3,1.0
16963-17517,train,correlation_only,31,recall@3,0.0967741935483871
16963-17517,train,correlation_only,31,ndcg@3,1.0
16963-17517,train,correlation_only,31,hit@5,1.0
16963-17517,train,correlation_only,31,precision@5,1.0
16963-17517,train,correlation_only,31,recall@5,0.16129032258064516
16963-17517,train,correlation_only,31,ndcg@5,1.0
16963-17517,train,correlation_only,31,hit@10,1.0
16963-17517,train,correlation_only,31,precision@10,0.9
16963-17517,train,correlation_only,31,recall@10,0.2903225806451613
16963-17517,train,correlation_only,31,ndcg@10,0.9216017310213247
16963-17517,train,random_floor,31,mrr,0.9050916666666666
16963-17517,train,random_floor,31,hit@1,0.821
16963-17517,train,random_floor,31,precision@1,0.821
16963-17517,train,random_floor,31,recall@1,0.02648387096774151
16963-17517,train,random_floor,31,ndcg@1,0.821
16963-17517,train,random_floor,31,hit@3,0.995
16963-17517,train,random_floor,31,precision@3,0.8201666666666724
16963-17517,train,random_floor,31,recall@3,0.0793709677419338
16963-17517,train,random_floor,31,ndcg@3,0.8207206143322427
16963-17517,train,random_floor,31,hit@5,1.0
16963-17517,train,random_floor,31,precision@5,0.8163999999999839
16963-17517,train,random_floor,31,recall@5,0.13167741935483648
16963-17517,train,random_floor,31,ndcg@5,0.8180414917394122
16963-17517,train,random_floor,31,hit@10,1.0
16963-17517,train,random_floor,31,precision@10,0.8175499999999992
16963-17517,train,random_floor,31,recall@10,0.2637258064516142
16963-17517,train,random_floor,31,ndcg@10,0.8181799819476425
18071-18528,train,shap,8,mrr,0.5
18071-18528,train,shap,8,hit@1,0.0
18071-18528,train,shap,8,precision@1,0.0
